native_id,met_monitor_id,state,cbsa,latitude,longitude,pct_available
KAVX,74,CA,31084,33.405,-118.41583,0.9944
KBUR,76,CA,31084,34.20056,-118.3575,1.0000
KCMA,77,CA,37100,34.21667,-119.08333,0.9913
KCNO,78,CA,40140,33.97528,-117.63611,0.9931
KCQT,79,CA,31084,34.0511,-118.2352,0.9972
KFUL,106,CA,42044,33.87194,-117.97889,1.0000
KLAX,6,CA,31084,33.938,-118.406,1.0000
KLGB,82,CA,31084,33.8116,-118.1463,0.9986
KONT,83,CA,40140,34.05611,-117.60028,1.0000
KOXR,84,CA,37100,34.20083,-119.20694,1.0000
KRAL,107,CA,40140,33.95194,-117.43861,1.0000
KRIV,5,CA,40140,33.881,-117.259,1.0000
KSLI,104,CA,42044,33.79,-118.05194,1.0000
KSMO,90,CA,31084,34.01583,-118.45139,0.9945
KVNY,92,CA,31084,34.20972,-118.48917,1.0000
